season,date_code,weekending,region,Influenza_Category,Count
2010-2011,201137,9/11/2011,California,Influenza_B,0
2010-2011,201137,9/11/2011,California,Influenza_Total,1
2010-2011,201137,9/11/2011,California,Influenza_Tested,13
2010-2011,201137,9/11/2011,Central,Influenza_A,0
2010-2011,201137,9/11/2011,Central,Influenza_AH3,0
2010-2011,201137,9/11/2011,Central,Influenza_AH1pdm09,0
2010-2011,201137,9/11/2011,Central,Influenza_ANotSubtyped,0
2010-2011,201137,9/11/2011,Central,Influenza_B,0
2010-2011,201137,9/11/2011,Central,Influenza_Total,0
2010-2011,201137,9/11/2011,Central,Influenza_Tested,3
2010-2011,201137,9/11/2011,Lower Southern,Influenza_A,0
2010-2011,201137,9/11/2011,Lower Southern,Influenza_AH3,0
2010-2011,201137,9/11/2011,Lower Southern,Influenza_AH1pdm09,0
2010-2011,201137,9/11/2011,Lower Southern,Influenza_ANotSubtyped,0
2010-2011,201137,9/11/2011,Lower Southern,Influenza_B,0
2010-2011,201137,9/11/2011,Lower Southern,Influenza_Total,0
2010-2011,201137,9/11/2011,Lower Southern,Influenza_Tested,1
2010-2011,201137,9/11/2011,Northern,Influenza_A,0
2010-2011,201137,9/11/2011,Northern,Influenza_AH3,0
2010-2011,201137,9/11/2011,Northern,Influenza_AH1pdm09,0
2010-2011,201137,9/11/2011,Northern,Influenza_ANotSubtyped,0
2010-2011,201137,9/11/2011,Northern,Influenza_B,0
2010-2011,201137,9/11/2011,Northern,Influenza_Total,0
2010-2011,201137,9/11/2011,Northern,Influenza_Tested,1
2010-2011,201137,9/11/2011,Upper Southern,Influenza_A,0
2010-2011,201137,9/11/2011,Upper Southern,Influenza_AH3,0
2010-2011,201137,9/11/2011,Upper Southern,Influenza_AH1pdm09,0
2010-2011,201137,9/11/2011,Upper Southern,Influenza_ANotSubtyped,0
2010-2011,201137,9/11/2011,Upper Southern,Influenza_B,0
2010-2011,201137,9/11/2011,Upper Southern,Influenza_Total,0
2010-2011,201137,9/11/2011,Upper Southern,Influenza_Tested,1
2010-2011,201138,9/18/2011,Bay Area,Influenza_A,0
2010-2011,201138,9/18/2011,Bay Area,Influenza_AH3,0
2010-2011,201138,9/18/2011,Bay Area,Influenza_AH1pdm09,0
2010-2011,201138,9/18/2011,Bay Area,Influenza_ANotSubtyped,0
2010-2011,201138,9/18/2011,Bay Area,Influenza_B,0
2010-2011,201138,9/18/2011,Bay Area,Influenza_Total,0
2010-2011,201138,9/18/2011,Bay Area,Influenza_Tested,9
2010-2011,201138,9/18/2011,California,Influenza_A,0
2010-2011,201138,9/18/2011,California,Influenza_AH3,0
2010-2011,201138,9/18/2011,California,Influenza_AH1pdm09,0
2010-2011,201138,9/18/2011,California,Influenza_ANotSubtyped,0
2010-2011,201138,9/18/2011,California,Influenza_B,0
2010-2011,201138,9/18/2011,California,Influenza_Total,0
2010-2011,201138,9/18/2011,California,Influenza_Tested,28
2010-2011,201138,9/18/2011,Central,Influenza_A,0
2010-2011,201138,9/18/2011,Central,Influenza_AH3,0
2010-2011,201138,9/18/2011,Central,Influenza_AH1pdm09,0
2010-2011,201138,9/18/2011,Central,Influenza_ANotSubtyped,0
2010-2011,201138,9/18/2011,Central,Influenza_B,0
2010-2011,201138,9/18/2011,Central,Influenza_Total,0
2010-2011,201138,9/18/2011,Central,Influenza_Tested,1
2010-2011,201138,9/18/2011,Lower Southern,Influenza_A,0
2010-2011,201138,9/18/2011,Lower Southern,Influenza_AH3,0
2010-2011,201138,9/18/2011,Lower Southern,Influenza_AH1pdm09,0
2010-2011,201138,9/18/2011,Lower Southern,Influenza_ANotSubtyped,0
2010-2011,201138,9/18/2011,Lower Southern,Influenza_B,0
2010-2011,201138,9/18/2011,Lower Southern,Influenza_Total,0
2010-2011,201138,9/18/2011,Lower Southern,Influenza_Tested,2
2010-2011,201138,9/18/2011,Northern,Influenza_A,0
2010-2011,201138,9/18/2011,Northern,Influenza_AH3,0
2010-2011,201138,9/18/2011,Northern,Influenza_AH1pdm09,0
2010-2011,201138,9/18/2011,Northern,Influenza_ANotSubtyped,0
2010-2011,201138,9/18/2011,Northern,Influenza_B,0
2010-2011,201138,9/18/2011,Northern,Influenza_Total,0
2010-2011,201138,9/18/2011,Northern,Influenza_Tested,5
2010-2011,201138,9/18/2011,Upper Southern,Influenza_A,0
2010-2011,201138,9/18/2011,Upper Southern,Influenza_AH3,0
2010-2011,201138,9/18/2011,Upper Southern,Influenza_AH1pdm09,0
2010-2011,201138,9/18/2011,Upper Southern,Influenza_ANotSubtyped,0
2010-2011,201138,9/18/2011,Upper Southern,Influenza_B,0
2010-2011,201138,9/18/2011,Upper Southern,Influenza_Total,0
2010-2011,201138,9/18/2011,Upper Southern,Influenza_Tested,11
2010-2011,201139,9/25/2011,Bay Area,Influenza_A,0
2010-2011,201139,9/25/2011,Bay Area,Influenza_AH3,0
2010-2011,201139,9/25/2011,Bay Area,Influenza_AH1pdm09,0
2010-2011,201139,9/25/2011,Bay Area,Influenza_ANotSubtyped,0
2010-2011,201139,9/25/2011,Bay Area,Influenza_B,0
2010-2011,201139,9/25/2011,Bay Area,Influenza_Total,0
2010-2011,201139,9/25/2011,Bay Area,Influenza_Tested,14
2010-2011,201139,9/25/2011,California,Influenza_A,0
2010-2011,201139,9/25/2011,California,Influenza_AH3,0
2010-2011,201139,9/25/2011,California,Influenza_AH1pdm09,0
2010-2011,201139,9/25/2011,California,Influenza_ANotSubtyped,0
2010-2011,201139,9/25/2011,California,Influenza_B,0
2010-2011,201139,9/25/2011,California,Influenza_Total,0
2010-2011,201139,9/25/2011,California,Influenza_Tested,29
2010-2011,201139,9/25/2011,Central,Influenza_A,0
2010-2011,201139,9/25/2011,Central,Influenza_AH3,0
2010-2011,201139,9/25/2011,Central,Influenza_AH1pdm09,0
2010-2011,201139,9/25/2011,Central,Influenza_ANotSubtyped,0
2010-2011,201139,9/25/2011,Central,Influenza_B,0
2010-2011,201139,9/25/2011,Central,Influenza_Total,0
2010-2011,201139,9/25/2011,Central,Influenza_Tested,4
2010-2011,201139,9/25/2011,Lower Southern,Influenza_A,0
2010-2011,201139,9/25/2011,Lower Southern,Influenza_AH3,0
2010-2011,201139,9/25/2011,Lower Southern,Influenza_AH1pdm09,0
2010-2011,201139,9/25/2011,Lower Southern,Influenza_ANotSubtyped,0
2010-2011,201139,9/25/2011,Lower Southern,Influenza_B,0
2010-2011,201139,9/25/2011,Lower Southern,Influenza_Total,0
2010-2011,201139,9/25/2011,Lower Southern,Influenza_Tested,0
2010-2011,201139,9/25/2011,Northern,Influenza_A,0
2010-2011,201139,9/25/2011,Northern,Influenza_AH3,0
2010-2011,201139,9/25/2011,Northern,Influenza_AH1pdm09,0
2010-2011,201139,9/25/2011,Northern,Influenza_ANotSubtyped,0
2010-2011,201139,9/25/2011,Northern,Influenza_B,0
2010-2011,201139,9/25/2011,Northern,Influenza_Total,0
2010-2011,201139,9/25/2011,Northern,Influenza_Tested,8
2010-2011,201139,9/25/2011,Upper Southern,Influenza_A,0
2010-2011,201139,9/25/2011,Upper Southern,Influenza_AH3,0
2010-2011,201139,9/25/2011,Upper Southern,Influenza_AH1pdm09,0
2010-2011,201139,9/25/2011,Upper Southern,Influenza_ANotSubtyped,0
2010-2011,201139,9/25/2011,Upper Southern,Influenza_B,0
2010-2011,201139,9/25/2011,Upper Southern,Influenza_Total,0
2010-2011,201139,9/25/2011,Upper Southern,Influenza_Tested,3
2011-2012,201140,10/2/2011,Bay Area,Influenza_A,0
2011-2012,201140,10/2/2011,Bay Area,Influenza_AH3,0
2011-2012,201140,10/2/2011,Bay Area,Influenza_AH1pdm09,0
2011-2012,201140,10/2/2011,Bay Area,Influenza_ANotSubtyped,0
2011-2012,201140,10/2/2011,Bay Area,Influenza_B,0
2011-2012,201140,10/2/2011,Bay Area,Influenza_Total,0
2011-2012,201140,10/2/2011,Bay Area,Influenza_Tested,23
2011-2012,201140,10/2/2011,California,Influenza_A,4
2011-2012,201140,10/2/2011,California,Influenza_AH3,2
2011-2012,201140,10/2/2011,California,Influenza_AH1pdm09,1
2011-2012,201140,10/2/2011,California,Influenza_ANotSubtyped,1
2011-2012,201140,10/2/2011,California,Influenza_B,0
2011-2012,201140,10/2/2011,California,Influenza_Total,4
2011-2012,201140,10/2/2011,California,Influenza_Tested,46
2011-2012,201140,10/2/2011,Central,Influenza_A,0
2011-2012,201140,10/2/2011,Central,Influenza_AH3,0
2011-2012,201140,10/2/2011,Central,Influenza_AH1pdm09,0
2011-2012,201140,10/2/2011,Central,Influenza_ANotSubtyped,0
2011-2012,201140,10/2/2011,Central,Influenza_B,0
2011-2012,201140,10/2/2011,Central,Influenza_Total,0
2011-2012,201140,10/2/2011,Central,Influenza_Tested,2
2011-2012,201140,10/2/2011,Lower Southern,Influenza_A,2
2011-2012,201140,10/2/2011,Lower Southern,Influenza_AH3,1
2011-2012,201140,10/2/2011,Lower Southern,Influenza_AH1pdm09,1
2011-2012,201140,10/2/2011,Lower Southern,Influenza_ANotSubtyped,0
2011-2012,201140,10/2/2011,Lower Southern,Influenza_B,0
2011-2012,201140,10/2/2011,Lower Southern,Influenza_Total,2
2011-2012,201140,10/2/2011,Lower Southern,Influenza_Tested,9
2011-2012,201140,10/2/2011,Northern,Influenza_A,0
2011-2012,201140,10/2/2011,Northern,Influenza_AH3,0
2011-2012,201140,10/2/2011,Northern,Influenza_AH1pdm09,0
2011-2012,201140,10/2/2011,Northern,Influenza_ANotSubtyped,0
2011-2012,201140,10/2/2011,Northern,Influenza_B,0
2011-2012,201140,10/2/2011,Northern,Influenza_Total,0
2011-2012,201140,10/2/2011,Northern,Influenza_Tested,4
2011-2012,201140,10/2/2011,Upper Southern,Influenza_A,2
2011-2012,201140,10/2/2011,Upper Southern,Influenza_AH3,1
2011-2012,201140,10/2/2011,Upper Southern,Influenza_AH1pdm09,0
2011-2012,201140,10/2/2011,Upper Southern,Influenza_ANotSubtyped,1
2011-2012,201140,10/2/2011,Upper Southern,Influenza_B,0
2011-2012,201140,10/2/2011,Upper Southern,Influenza_Total,2
2011-2012,201140,10/2/2011,Upper Southern,Influenza_Tested,8
2011-2012,201141,10/9/2011,Bay Area,Influenza_A,2
2011-2012,201141,10/9/2011,Bay Area,Influenza_AH3,2
2011-2012,201141,10/9/2011,Bay Area,Influenza_AH1pdm09,0
2011-2012,201141,10/9/2011,Bay Area,Influenza_ANotSubtyped,0
2011-2012,201141,10/9/2011,Bay Area,Influenza_B,0
2011-2012,201141,10/9/2011,Bay Area,Influenza_Total,2
2011-2012,201141,10/9/2011,Bay Area,Influenza_Tested,8
2011-2012,201141,10/9/2011,California,Influenza_A,2
2011-2012,201141,10/9/2011,California,Influenza_AH3,2
2011-2012,201141,10/9/2011,California,Influenza_AH1pdm09,0
2011-2012,201141,10/9/2011,California,Influenza_ANotSubtyped,0
2011-2012,201141,10/9/2011,California,Influenza_B,0
2011-2012,201141,10/9/2011,California,Influenza_Total,2
2011-2012,201141,10/9/2011,California,Influenza_Tested,32
2011-2012,201141,10/9/2011,Central,Influenza_A,0
2011-2012,201141,10/9/2011,Central,Influenza_AH3,0
2011-2012,201141,10/9/2011,Central,Influenza_AH1pdm09,0
2011-2012,201141,10/9/2011,Central,Influenza_ANotSubtyped,0
2011-2012,201141,10/9/2011,Central,Influenza_B,0
2011-2012,201141,10/9/2011,Central,Influenza_Total,0
2011-2012,201141,10/9/2011,Central,Influenza_Tested,4
2011-2012,201141,10/9/2011,Lower Southern,Influenza_A,0
2011-2012,201141,10/9/2011,Lower Southern,Influenza_AH3,0
2011-2012,201141,10/9/2011,Lower Southern,Influenza_AH1pdm09,0
2011-2012,201141,10/9/2011,Lower Southern,Influenza_ANotSubtyped,0
2011-2012,201141,10/9/2011,Lower Southern,Influenza_B,0
2011-2012,201141,10/9/2011,Lower Southern,Influenza_Total,0
2011-2012,201141,10/9/2011,Lower Southern,Influenza_Tested,10
2011-2012,201141,10/9/2011,Northern,Influenza_A,0
2011-2012,201141,10/9/2011,Northern,Influenza_AH3,0
2011-2012,201141,10/9/2011,Northern,Influenza_AH1pdm09,0
2011-2012,201141,10/9/2011,Northern,Influenza_ANotSubtyped,0
2011-2012,201141,10/9/2011,Northern,Influenza_B,0
2011-2012,201141,10/9/2011,Northern,Influenza_Total,0
2011-2012,201141,10/9/2011,Northern,Influenza_Tested,4
2011-2012,201141,10/9/2011,Upper Southern,Influenza_A,0
2011-2012,201141,10/9/2011,Upper Southern,Influenza_AH3,0
2011-2012,201141,10/9/2011,Upper Southern,Influenza_AH1pdm09,0
2011-2012,201141,10/9/2011,Upper Southern,Influenza_ANotSubtyped,0
2011-2012,201141,10/9/2011,Upper Southern,Influenza_B,0
2011-2012,201141,10/9/2011,Upper Southern,Influenza_Total,0
2011-2012,201141,10/9/2011,Upper Southern,Influenza_Tested,6
2011-2012,201142,10/16/2011,Bay Area,Influenza_A,2
2011-2012,201142,10/16/2011,Bay Area,Influenza_AH3,2
2011-2012,201142,10/16/2011,Bay Area,Influenza_AH1pdm09,0
2011-2012,201142,10/16/2011,Bay Area,Influenza_ANotSubtyped,0
2011-2012,201142,10/16/2011,Bay Area,Influenza_B,0
2011-2012,201142,10/16/2011,Bay Area,Influenza_Total,2
2011-2012,201142,10/16/2011,Bay Area,Influenza_Tested,9
2011-2012,201142,10/16/2011,California,Influenza_A,3
2011-2012,201142,10/16/2011,California,Influenza_AH3,3
2011-2012,201142,10/16/2011,California,Influenza_AH1pdm09,0
2011-2012,201142,10/16/2011,California,Influenza_ANotSubtyped,0
2011-2012,201142,10/16/2011,California,Influenza_B,1
2011-2012,201142,10/16/2011,California,Influenza_Total,4
2011-2012,201142,10/16/2011,California,Influenza_Tested,36
2011-2012,201142,10/16/2011,Central,Influenza_A,1
2011-2012,201142,10/16/2011,Central,Influenza_AH3,1
2011-2012,201142,10/16/2011,Central,Influenza_AH1pdm09,0
2011-2012,201142,10/16/2011,Central,Influenza_ANotSubtyped,0
2011-2012,201142,10/16/2011,Central,Influenza_B,0
2011-2012,201142,10/16/2011,Central,Influenza_Total,1
2011-2012,201142,10/16/2011,Central,Influenza_Tested,3
2011-2012,201142,10/16/2011,Lower Southern,Influenza_A,0
2011-2012,201142,10/16/2011,Lower Southern,Influenza_AH3,0
2011-2012,201142,10/16/2011,Lower Southern,Influenza_AH1pdm09,0
2011-2012,201142,10/16/2011,Lower Southern,Influenza_ANotSubtyped,0
2011-2012,201142,10/16/2011,Lower Southern,Influenza_B,1
2011-2012,201142,10/16/2011,Lower Southern,Influenza_Total,1
2011-2012,201142,10/16/2011,Lower Southern,Influenza_Tested,17
2011-2012,201142,10/16/2011,Northern,Influenza_A,0
2011-2012,201142,10/16/2011,Northern,Influenza_AH3,0
2011-2012,201142,10/16/2011,Northern,Influenza_AH1pdm09,0
2011-2012,201142,10/16/2011,Northern,Influenza_ANotSubtyped,0
2011-2012,201142,10/16/2011,Northern,Influenza_B,0
2011-2012,201142,10/16/2011,Northern,Influenza_Total,0
2011-2012,201142,10/16/2011,Northern,Influenza_Tested,2
2011-2012,201142,10/16/2011,Upper Southern,Influenza_A,0
2011-2012,201142,10/16/2011,Upper Southern,Influenza_AH3,0
2011-2012,201142,10/16/2011,Upper Southern,Influenza_AH1pdm09,0
2011-2012,201142,10/16/2011,Upper Southern,Influenza_ANotSubtyped,0
2011-2012,201142,10/16/2011,Upper Southern,Influenza_B,0
2011-2012,201142,10/16/2011,Upper Southern,Influenza_Total,0
2011-2012,201142,10/16/2011,Upper Southern,Influenza_Tested,5
2011-2012,201143,10/23/2011,Bay Area,Influenza_A,1
2011-2012,201143,10/23/2011,Bay Area,Influenza_AH3,1
2011-2012,201143,10/23/2011,Bay Area,Influenza_AH1pdm09,0
2011-2012,201143,10/23/2011,Bay Area,Influenza_ANotSubtyped,0
2011-2012,201143,10/23/2011,Bay Area,Influenza_B,0
2011-2012,201143,10/23/2011,Bay Area,Influenza_Total,1
2011-2012,201143,10/23/2011,Bay Area,Influenza_Tested,10
2011-2012,201143,10/23/2011,California,Influenza_A,2
2011-2012,201143,10/23/2011,California,Influenza_AH3,2
2011-2012,201143,10/23/2011,California,Influenza_AH1pdm09,0
2011-2012,201143,10/23/2011,California,Influenza_ANotSubtyped,0
2011-2012,201143,10/23/2011,California,Influenza_B,2
2011-2012,201143,10/23/2011,California,Influenza_Total,4
2011-2012,201143,10/23/2011,California,Influenza_Tested,53
2011-2012,201143,10/23/2011,Central,Influenza_A,0
2011-2012,201143,10/23/2011,Central,Influenza_AH3,0
2011-2012,201143,10/23/2011,Central,Influenza_AH1pdm09,0
2011-2012,201143,10/23/2011,Central,Influenza_ANotSubtyped,0
2011-2012,201143,10/23/2011,Central,Influenza_B,0
2011-2012,201143,10/23/2011,Central,Influenza_Total,0
2011-2012,201143,10/23/2011,Central,Influenza_Tested,11
2011-2012,201143,10/23/2011,Lower Southern,Influenza_A,0
2011-2012,201143,10/23/2011,Lower Southern,Influenza_AH3,0
2011-2012,201143,10/23/2011,Lower Southern,Influenza_AH1pdm09,0
2011-2012,201143,10/23/2011,Lower Southern,Influenza_ANotSubtyped,0
2011-2012,201143,10/23/2011,Lower Southern,Influenza_B,0
2011-2012,201143,10/23/2011,Lower Southern,Influenza_Total,0
2011-2012,201143,10/23/2011,Lower Southern,Influenza_Tested,7
2011-2012,201143,10/23/2011,Northern,Influenza_A,0
2011-2012,201143,10/23/2011,Northern,Influenza_AH3,0
2011-2012,201143,10/23/2011,Northern,Influenza_AH1pdm09,0
2011-2012,201143,10/23/2011,Northern,Influenza_ANotSubtyped,0
2011-2012,201143,10/23/2011,Northern,Influenza_B,0
2011-2012,201143,10/23/2011,Northern,Influenza_Total,0
2011-2012,201143,10/23/2011,Northern,Influenza_Tested,3
2011-2012,201143,10/23/2011,Upper Southern,Influenza_A,1
2011-2012,201143,10/23/2011,Upper Southern,Influenza_AH3,1
2011-2012,201143,10/23/2011,Upper Southern,Influenza_AH1pdm09,0
2011-2012,201143,10/23/2011,Upper Southern,Influenza_ANotSubtyped,0
2011-2012,201143,10/23/2011,Upper Southern,Influenza_B,2
2011-2012,201143,10/23/2011,Upper Southern,Influenza_Total,3
2011-2012,201143,10/23/2011,Upper Southern,Influenza_Tested,22
2011-2012,201144,10/30/2011,Bay Area,Influenza_A,0
2011-2012,201144,10/30/2011,Bay Area,Influenza_AH3,0
2011-2012,201144,10/30/2011,Bay Area,Influenza_AH1pdm09,0
2011-2012,201144,10/30/2011,Bay Area,Influenza_ANotSubtyped,0
2011-2012,201144,10/30/2011,Bay Area,Influenza_B,0
2011-2012,201144,10/30/2011,Bay Area,Influenza_Total,0
2011-2012,201144,10/30/2011,Bay Area,Influenza_Tested,10
2011-2012,201144,10/30/2011,California,Influenza_A,0
2011-2012,201144,10/30/2011,California,Influenza_AH3,0
2011-2012,201144,10/30/2011,California,Influenza_AH1pdm09,0
2011-2012,201144,10/30/2011,California,Influenza_ANotSubtyped,0
2011-2012,201144,10/30/2011,California,Influenza_B,2
2011-2012,201144,10/30/2011,California,Influenza_Total,2
2011-2012,201144,10/30/2011,California,Influenza_Tested,52
2011-2012,201144,10/30/2011,Central,Influenza_A,0
2011-2012,201144,10/30/2011,Central,Influenza_AH3,0
2011-2012,201144,10/30/2011,Central,Influenza_AH1pdm09,0
2011-2012,201144,10/30/2011,Central,Influenza_ANotSubtyped,0
2011-2012,201144,10/30/2011,Central,Influenza_B,0
2011-2012,201144,10/30/2011,Central,Influenza_Total,0
2011-2012,201144,10/30/2011,Central,Influenza_Tested,9
2011-2012,201144,10/30/2011,Lower Southern,Influenza_A,0
2011-2012,201144,10/30/2011,Lower Southern,Influenza_AH3,0
2011-2012,201144,10/30/2011,Lower Southern,Influenza_AH1pdm09,0
2011-2012,201144,10/30/2011,Lower Southern,Influenza_ANotSubtyped,0
2011-2012,201144,10/30/2011,Lower Southern,Influenza_B,1
2011-2012,201144,10/30/2011,Lower Southern,Influenza_Total,1
2011-2012,201144,10/30/2011,Lower Southern,Influenza_Tested,16
2011-2012,201144,10/30/2011,Northern,Influenza_A,0
2011-2012,201144,10/30/2011,Northern,Influenza_AH3,0
2011-2012,201144,10/30/2011,Northern,Influenza_AH1pdm09,0
2011-2012,201144,10/30/2011,Northern,Influenza_ANotSubtyped,0
2011-2012,201144,10/30/2011,Northern,Influenza_B,0
2011-2012,201144,10/30/2011,Northern,Influenza_Total,0
2011-2012,201144,10/30/2011,Northern,Influenza_Tested,5
2011-2012,201144,10/30/2011,Upper Southern,Influenza_A,0
2011-2012,201144,10/30/2011,Upper Southern,Influenza_AH3,0
2011-2012,201144,10/30/2011,Upper Southern,Influenza_AH1pdm09,0
2011-2012,201144,10/30/2011,Upper Southern,Influenza_ANotSubtyped,0
2011-2012,201144,10/30/2011,Upper Southern,Influenza_B,1
2011-2012,201144,10/30/2011,Upper Southern,Influenza_Total,1
2011-2012,201144,10/30/2011,Upper Southern,Influenza_Tested,12
2011-2012,201145,11/6/2011,Bay Area,Influenza_A,1
2011-2012,201145,11/6/2011,Bay Area,Influenza_AH3,1
2011-2012,201145,11/6/2011,Bay Area,Influenza_AH1pdm09,0
2011-2012,201145,11/6/2011,Bay Area,Influenza_ANotSubtyped,0
2011-2012,201145,11/6/2011,Bay Area,Influenza_B,0
2011-2012,201145,11/6/2011,Bay Area,Influenza_Total,1
2011-2012,201145,11/6/2011,Bay Area,Influenza_Tested,12
2011-2012,201145,11/6/2011,California,Influenza_A,1
2011-2012,201145,11/6/2011,California,Influenza_AH3,1
2011-2012,201145,11/6/2011,California,Influenza_AH1pdm09,0
2011-2012,201145,11/6/2011,California,Influenza_ANotSubtyped,0
2011-2012,201145,11/6/2011,California,Influenza_B,0
2011-2012,201145,11/6/2011,California,Influenza_Total,1
2011-2012,201145,11/6/2011,California,Influenza_Tested,43
2011-2012,201145,11/6/2011,Central,Influenza_A,0
2011-2012,201145,11/6/2011,Central,Influenza_AH3,0
2011-2012,201145,11/6/2011,Central,Influenza_AH1pdm09,0
2011-2012,201145,11/6/2011,Central,Influenza_ANotSubtyped,0
2011-2012,201145,11/6/2011,Central,Influenza_B,0
2011-2012,201145,11/6/2011,Central,Influenza_Total,0
2011-2012,201145,11/6/2011,Central,Influenza_Tested,3
2011-2012,201145,11/6/2011,Lower Southern,Influenza_A,0
2011-2012,201145,11/6/2011,Lower Southern,Influenza_AH3,0
2011-2012,201145,11/6/2011,Lower Southern,Influenza_AH1pdm09,0
2011-2012,201145,11/6/2011,Lower Southern,Influenza_ANotSubtyped,0
2011-2012,201145,11/6/2011,Lower Southern,Influenza_B,0
2011-2012,201145,11/6/2011,Lower Southern,Influenza_Total,0
2011-2012,201145,11/6/2011,Lower Southern,Influenza_Tested,9
2011-2012,201145,11/6/2011,Northern,Influenza_A,0
2011-2012,201145,11/6/2011,Northern,Influenza_AH3,0
2011-2012,201145,11/6/2011,Northern,Influenza_AH1pdm09,0
2011-2012,201145,11/6/2011,Northern,Influenza_ANotSubtyped,0
2011-2012,201145,11/6/2011,Northern,Influenza_B,0
2011-2012,201145,11/6/2011,Northern,Influenza_Total,0
2011-2012,201145,11/6/2011,Northern,Influenza_Tested,1
2011-2012,201145,11/6/2011,Upper Southern,Influenza_A,0
2011-2012,201145,11/6/2011,Upper Southern,Influenza_AH3,0
2011-2012,201145,11/6/2011,Upper Southern,Influenza_AH1pdm09,0
2011-2012,201145,11/6/2011,Upper Southern,Influenza_ANotSubtyped,0
2011-2012,201145,11/6/2011,Upper Southern,Influenza_B,0
2011-2012,201145,11/6/2011,Upper Southern,Influenza_Total,0
2011-2012,201145,11/6/2011,Upper Southern,Influenza_Tested,18
2011-2012,201146,11/13/2011,Bay Area,Influenza_A,2
2011-2012,201146,11/13/2011,Bay Area,Influenza_AH3,1
2011-2012,201146,11/13/2011,Bay Area,Influenza_AH1pdm09,1
2011-2012,201146,11/13/2011,Bay Area,Influenza_ANotSubtyped,0
2011-2012,201146,11/13/2011,Bay Area,Influenza_B,0
2011-2012,201146,11/13/2011,Bay Area,Influenza_Total,2
2011-2012,201146,11/13/2011,Bay Area,Influenza_Tested,24
2011-2012,201146,11/13/2011,California,Influenza_A,2
2011-2012,201146,11/13/2011,California,Influenza_AH3,1
2011-2012,201146,11/13/2011,California,Influenza_AH1pdm09,1
2011-2012,201146,11/13/2011,California,Influenza_ANotSubtyped,0
2011-2012,201146,11/13/2011,California,Influenza_B,1
2011-2012,201146,11/13/2011,California,Influenza_Total,3
2011-2012,201146,11/13/2011,California,Influenza_Tested,66
2011-2012,201146,11/13/2011,Central,Influenza_A,0
2011-2012,201146,11/13/2011,Central,Influenza_AH3,0
2011-2012,201146,11/13/2011,Central,Influenza_AH1pdm09,0
2011-2012,201146,11/13/2011,Central,Influenza_ANotSubtyped,0
2011-2012,201146,11/13/2011,Central,Influenza_B,0
2011-2012,201146,11/13/2011,Central,Influenza_Total,0
2011-2012,201146,11/13/2011,Central,Influenza_Tested,8
2011-2012,201146,11/13/2011,Lower Southern,Influenza_A,0
2011-2012,201146,11/13/2011,Lower Southern,Influenza_AH3,0
2011-2012,201146,11/13/2011,Lower Southern,Influenza_AH1pdm09,0
2011-2012,201146,11/13/2011,Lower Southern,Influenza_ANotSubtyped,0
2011-2012,201146,11/13/2011,Lower Southern,Influenza_B,1
2011-2012,201146,11/13/2011,Lower Southern,Influenza_Total,1
2011-2012,201146,11/13/2011,Lower Southern,Influenza_Tested,18
2011-2012,201146,11/13/2011,Northern,Influenza_A,0
2011-2012,201146,11/13/2011,Northern,Influenza_AH3,0
2011-2012,201146,11/13/2011,Northern,Influenza_AH1pdm09,0
2011-2012,201146,11/13/2011,Northern,Influenza_ANotSubtyped,0
2011-2012,201146,11/13/2011,Northern,Influenza_B,0
2011-2012,201146,11/13/2011,Northern,Influenza_Total,0
2011-2012,201146,11/13/2011,Northern,Influenza_Tested,7
2011-2012,201146,11/13/2011,Upper Southern,Influenza_A,0
2011-2012,201146,11/13/2011,Upper Southern,Influenza_AH3,0
2011-2012,201146,11/13/2011,Upper Southern,Influenza_AH1pdm09,0
2011-2012,201146,11/13/2011,Upper Southern,Influenza_ANotSubtyped,0
2011-2012,201146,11/13/2011,Upper Southern,Influenza_B,0
2011-2012,201146,11/13/2011,Upper Southern,Influenza_Total,0
2011-2012,201146,11/13/2011,Upper Southern,Influenza_Tested,9
2011-2012,201147,11/20/2011,Bay Area,Influenza_A,2
2011-2012,201147,11/20/2011,Bay Area,Influenza_AH3,2
2011-2012,201147,11/20/2011,Bay Area,Influenza_AH1pdm09,0
2011-2012,201147,11/20/2011,Bay Area,Influenza_ANotSubtyped,0
2011-2012,201147,11/20/2011,Bay Area,Influenza_B,0
2011-2012,201147,11/20/2011,Bay Area,Influenza_Total,2
2011-2012,201147,11/20/2011,Bay Area,Influenza_Tested,9
2011-2012,201147,11/20/2011,California,Influenza_A,3
2011-2012,201147,11/20/2011,California,Influenza_AH3,3
2011-2012,201147,11/20/2011,California,Influenza_AH1pdm09,0
2011-2012,201147,11/20/2011,California,Influenza_ANotSubtyped,0
2011-2012,201147,11/20/2011,California,Influenza_B,0
2011-2012,201147,11/20/2011,California,Influenza_Total,3
2011-2012,201147,11/20/2011,California,Influenza_Tested,28
2011-2012,201147,11/20/2011,Central,Influenza_A,0
2011-2012,201147,11/20/2011,Central,Influenza_AH3,0
2011-2012,201147,11/20/2011,Central,Influenza_AH1pdm09,0
2011-2012,201147,11/20/2011,Central,Influenza_ANotSubtyped,0
2011-2012,201147,11/20/2011,Central,Influenza_B,0
2011-2012,201147,11/20/2011,Central,Influenza_Total,0
2011-2012,201147,11/20/2011,Central,Influenza_Tested,9
2011-2012,201147,11/20/2011,Lower Southern,Influenza_A,0
2011-2012,201147,11/20/2011,Lower Southern,Influenza_AH3,0
